year_week|min_trip_time|max_trip_time|avg_trip_time|min_distance|max_distance|avg_distance|min_fare|max_fare|avg_fare|services|service_variation
2022-000|1.0|86373.0|936.066108635235|0.0|214.1|3.8132855333914386|0.0|499.0|14.57680606489171|60809|0.0%
2022-001|1.0|510791.0|821.6274357412987|0.0|651.0|3.4099776656945067|0.0|401092.32|14.075522883148517|499232|720.98%
2022-002|1.0|160771.0|818.3176142714277|0.0|346.6|3.0126746242426026|0.0|640.5|12.361141335519736|543968|8.96%
2022-003|1.0|257044.0|836.9144684545226|0.0|470.8|2.973414742141522|0.0|720.0|12.350274610911221|573648|5.46%
2022-004|1.0|473450.0|880.3228538146649|0.0|257.7|2.8575891105117335|0.0|650.0|12.389524315227057|544268|5.12%
2022-005|1.0|329363.0|931.2236749298972|0.0|248.5|2.928530697398732|0.0|600.0|12.777798892432035|639419|17.48%
2022-006|1.0|88771.0|938.7337124770296|0.0|114.7|2.9624300758995807|0.0|655.35|12.810048710613897|705801|10.38%
2022-007|1.0|177049.0|918.8555518272389|0.0|160.02|3.041512723562598|0.0|490.0|12.899908869938129|733128|3.87%
2022-008|1.0|316323.0|924.5132136747899|0.0|138.68|3.229910311183832|0.0|641.0|13.35652538474464|726066|0.96%
2022-009|1.0|148365.0|955.6131473618823|0.0|181.19|3.1995527463449305|0.0|870.0|13.477407516986545|780765|7.53%
2022-010|1.0|167640.0|953.0158130145918|0.0|363.67|3.2439893873426096|0.0|1777.0|13.655238920486486|773793|0.89%
2022-011|1.0|482262.0|995.6959624595452|0.0|302.84|3.406804666581832|0.0|1150.5|14.126417402734724|762271|1.49%
2022-012|1.0|134877.0|964.3915038165196|0.0|53440.55|3.490681840347824|0.0|900.0|14.015907328128288|779244|2.23%
2022-013|1.0|157824.0|972.9851991590155|0.0|181.21|3.3553535079055687|0.0|700.0|13.925926223982692|574089|26.33%
